day,trips,passenger_count,trip_time_in_secs,trip_distance,fare_amount
1,45,60,26493,102,511.5
2,36,46,25478,100,418.0
3,43,54,26218,88,418.0
4,38,51,25312,87,395.0
5,41,56,25342,70,361.0
6,35,43,25487,121,479.0
7,37,46,25399,82,409.0
8,34,42,25414,87,377.5
9,41,53,26879,89,416.0
10,42,63,25588,84,401.0
11,41,49,26132,80,398.5
12,47,60,25324,69,385.5
13,36,44,25270,89,378.5
14,43,55,25298,78,404.0
15,40,55,25524,82,389.5
16,38,54,25297,94,408.5
17,43,50,25561,99,437.5
18,34,44,25372,116,447.5
19,38,43,25249,96,455.0
20,39,49,25498,92,408.5
21,38,55,25639,97,429.5
22,34,47,25396,89,397.0
23,44,67,25570,110,453.0
24,40,65,25361,97,424.5
25,46,70,25476,96,427.5
26,41,58,25433,123,467.5
27,47,67,25824,104,452.5
28,39,66,25293,109,432.5
29,47,63,25791,90,419.5
30,45,65,25989,109,463.5
31,39,57,25438,102,422.0
32,51,68,25304,88,426.0
33,37,72,25303,128,477.5
34,33,47,25766,119,451.5
35,43,72,26043,130,551.0
36,43,54,25654,104,445.5
37,41,57,25422,110,449.5
38,33,100,25794,98,410.0
39,44,220,26452,114,472.5
40,39,234,25200,126,479.5
41,35,200,25560,131,475.0
42,40,240,25440,105,435.5
43,40,234,26040,132,491.0
44,42,242,25500,116,458.5
45,46,256,26340,112,457.0
46,40,119,25552,114,461.0
47,38,93,25852,99,456.0
48,42,176,25440,121,494.0
49,37,121,25380,131,474.0
50,43,140,25276,108,448.0
51,49,240,25740,120,486.5
52,37,165,25920,113,439.5
53,45,126,25500,119,555.0
54,42,117,26400,120,479.0
55,30,130,25560,140,490.0
56,42,178,25440,96,426.0
57,43,215,25380,83,397.5
58,36,214,25740,76,368.0
59,34,122,25200,114,441.5
60,36,165,25560,108,428.0
61,40,228,25380,96,420.5
62,41,156,25981,126,579.0
63,48,211,25646,109,459.0
64,43,228,25680,100,431.5
65,44,147,25342,106,449.5
66,41,137,25963,96,406.5
67,43,158,25517,116,459.5
68,41,94,25270,81,386.5
69,40,152,25334,112,447.5
70,45,161,26493,124,517.0
71,41,70,25343,98,429.5
72,34,46,25260,103,422.0
73,32,45,25412,100,412.0
